,puma,wagp,agep,sex,serialno,pwgtp,st
484,00106,0010000,22,1,1260768,00092,06
485,00106,0050000,64,1,1260768,00075,06
486,00106,0010000,61,2,1260768,00065,06
487,00106,0000000,64,2,126108,00056,06
488,00106,0025000,25,1,126108,00066,06
489,00106,0000000,94,2,1261692,00059,06
490,00106,0000000,67,1,1262384,00048,06
491,00106,0000000,66,2,1262384,00058,06
492,00106,0001200,61,2,1266279,00039,06
493,00106,0000000,60,1,1266279,00042,06
494,00106,0020000,26,2,1266856,00106,06
495,00106,0084000,32,1,1266856,00103,06
496,00106,0015000,47,2,1266886,00162,06
497,00106,0140000,46,1,1266886,00063,06
498,00106,,02,1,1268590,00079,06
499,00106,,07,2,1268590,00127,06
500,00106,0047000,34,2,1268590,00067,06
501,00106,0040000,37,1,1268590,00104,06
502,00106,0020000,60,2,1268872,00066,06
503,00106,0052000,50,1,1268872,00065,06
504,00106,0003000,65,1,1272525,00249,06
505,00106,0083000,32,1,1272525,00229,06
506,00106,0078000,32,2,1272525,00167,06
507,00106,,02,1,1272525,00196,06
508,00106,,00,1,1272525,00197,06
509,00106,0036000,40,1,1272525,00332,06
510,00106,0000000,63,2,1272525,00293,06
511,00106,0060000,58,1,1272688,00052,06
512,00106,0024700,25,1,1272688,00061,06
513,00106,0017000,24,1,1272688,00058,06
514,00106,0000000,73,1,1280026,00074,06
515,00106,0000000,71,2,1280026,00070,06
516,00106,0000000,54,1,1280649,00006,06
517,00106,0080000,36,1,1282114,00077,06
518,00106,0040000,42,2,1282114,00073,06
519,00106,0000000,75,2,1282170,00030,06
520,00106,0000000,78,2,1288687,00083,06
521,00106,0160000,48,2,1291112,00042,06
522,00106,,14,1,1291112,00040,06
523,00106,0100000,50,2,1291112,00038,06
524,00106,0000000,31,1,1292769,00064,06
525,00106,0000000,46,1,12930,00141,06
526,00106,0006000,56,2,129319,00154,06
527,00106,0090000,30,1,1296193,00096,06
528,00106,0000000,54,1,1297646,00092,06
529,00106,0013500,58,1,1297646,00057,06
530,00106,0006000,21,2,1298657,00053,06
531,00106,0014000,31,2,1298657,00077,06
532,00106,0000000,20,2,1298657,00092,06
533,00106,0050000,41,1,1298657,00077,06
534,00106,,08,2,1298657,00056,06
535,00106,0000000,94,2,1300282,00063,06
536,00106,0045000,28,1,1301243,00256,06
537,00106,0033800,29,2,1301243,00156,06
538,00106,,00,1,1301243,00219,06
539,00106,0016600,64,2,1302088,00057,06
540,00106,0005800,63,1,1302088,00060,06
541,00106,0000000,79,2,1302972,00099,06
542,00106,0022100,66,2,1303762,00069,06
543,00106,0000000,72,1,1303762,00056,06
544,00106,0050000,32,1,1304035,00135,06
545,00106,0000000,67,2,1304047,00113,06
546,00106,0000000,77,1,1304047,00112,06
547,00106,0018000,45,1,1307429,00185,06
548,00106,0000000,68,2,130805,00057,06
549,00106,0000000,63,1,1313316,00096,06
550,00106,0000000,86,1,1313316,00071,06
551,00106,0000000,48,2,1316121,00081,06
552,00106,0065000,50,1,1316121,00070,06
553,00106,0008100,65,1,1316167,00052,06
554,00106,0000000,63,2,1316167,00067,06
555,00106,0111000,35,2,13176,00200,06
556,00106,0057000,37,1,13176,00236,06
557,00106,,02,2,13176,00207,06
558,00106,0126000,59,1,1318894,00070,06
559,00106,0000000,64,2,1318894,00068,06
560,00106,0006000,67,1,1319277,00078,06
561,00106,0000000,71,2,1319277,00074,06
562,00106,0086000,26,1,1320049,00050,06
563,00106,0061000,58,2,1321389,00057,06
564,00106,0000000,70,2,1321591,00063,06
565,00106,0000000,69,1,1321591,00052,06
566,00106,0038300,25,2,1323106,00177,06
567,00106,0056000,24,1,1323106,00162,06
568,00106,,13,2,1323297,00276,06
569,00106,0035000,38,1,1323297,00211,06
570,00106,0000000,40,2,1323297,00214,06
571,00106,,11,1,1323297,00246,06
572,00106,,08,1,1323297,00247,06
573,00106,0000000,57,2,1325139,00118,06
574,00106,0045000,57,1,1325139,00112,06
575,00106,0105000,38,2,1327870,00177,06
576,00106,0000000,83,2,1329706,00044,06
577,00106,0000000,65,1,133259,00098,06
578,00106,0041000,39,1,1334379,00113,06
579,00106,0151000,32,2,1339280,00160,06
580,00106,0095000,33,1,1339280,00124,06
581,00106,0000000,85,2,1339293,00010,06
582,00106,0110000,36,1,1341435,00115,06
583,00106,,01,1,1341435,00119,06
584,00106,,02,1,1341435,00118,06
585,00106,0006000,35,2,1341435,00101,06
586,00106,0001200,68,2,1341661,00093,06
587,00106,0000000,39,2,1341661,00168,06
588,00106,,09,2,1343481,00078,06
589,00106,,06,1,1343481,00073,06
590,00106,0000000,32,2,1343481,00078,06
591,00106,0000000,35,1,1343481,00080,06
592,00106,,00,1,1343481,00080,06
593,00106,,03,2,1343481,00068,06
594,00106,,11,1,1343481,00072,06
595,00106,0075000,47,1,1344785,00175,06
596,00106,0035300,65,2,1345158,00036,06
597,00106,0011200,40,1,1345783,00376,06
598,00106,,14,1,1345783,00280,06
599,00106,0035400,32,2,1345783,00386,06
600,00106,,04,1,1345783,00311,06
601,00106,,08,1,1345783,00281,06
602,00106,0072000,64,2,1345783,00193,06
603,00106,0135000,31,1,1346982,00073,06
604,00106,0045000,27,2,1346982,00050,06
605,00106,0000000,94,1,1348192,00180,06
606,00106,0000000,66,2,1348192,00106,06
607,00106,0000000,64,2,1348238,00132,06
608,00106,0052000,31,2,1348238,00072,06
609,00106,0000000,94,1,1348313,00078,06
610,00106,0050000,61,1,1348946,00063,06
611,00106,0015000,29,1,1349041,00206,06
612,00106,,07,2,1349041,00185,06
613,00106,0000000,19,1,1349517,00177,06
614,00106,0000000,52,1,1349517,00209,06
615,00106,0100000,53,2,1349517,00185,06
616,00106,0048000,60,2,1352447,00151,06
617,00106,0000300,30,2,1352447,00083,06
618,00106,0000000,55,1,1352447,00125,06
619,00106,0050000,54,1,1355322,00109,06
620,00106,0068000,64,2,1355322,00091,06
621,00106,0008000,60,2,1356325,00056,06
622,00106,0020000,23,2,1356325,00095,06
623,00106,0002000,68,1,1356325,00058,06
624,00106,0093000,61,2,135870,00037,06
625,00106,0170000,58,1,135870,00037,06
626,00106,0055000,46,1,1367815,00217,06
627,00106,0040000,37,2,1371773,00080,06
628,00106,0035000,40,1,1371773,00084,06
629,00106,0000000,78,2,1372767,00048,06
630,00106,0045000,25,2,1373566,00054,06
631,00106,0035000,23,1,1373566,00072,06
632,00106,0045000,28,1,1373566,00090,06
633,00106,0000000,78,2,137397,00082,06
634,00106,,13,1,1374721,00058,06
635,00106,0090000,47,1,1374721,00049,06
636,00106,0092000,50,2,1374721,00051,06
637,00106,0000000,16,1,1374721,00047,06
638,00106,0000000,57,1,1376811,00052,06
639,00106,0107000,30,2,137777,00102,06
640,00106,0054000,30,1,137777,00197,06
641,00106,0019700,68,1,1378631,00019,06
642,00106,0000000,68,2,1379040,00050,06
643,00106,0032000,44,2,138091,00160,06
644,00106,0002900,18,2,138091,00181,06
